"station_id","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
1001,101.2,42,86.9,64,53.7,42.8,115.2,239,298.5,273,NA,NA,48.7,104.7,123,94.4,158.2,176.7,394.3,305,62.8,149.4,148.7,263.7,356,NA,99.9,NA,161.1,169,174,41.5,47.8,46.6,110.3,48.2,47.9,57,73,44,109,44.3,55.8,52.1,39.5,135.4,43.6,49,108.4,265.7,405.4,380.2,38.8,252.5,55.9,136.2,250.4,49.5,161,309.3,103.6,45.3,49,44.5,49.8,53.6,44,32.3,74.1,214,44.1,51.2,44.3,89.4,88.1,69,61.2,184.3,146.1,46.7,63.5,45.1,101.7,212,47.9,41.5,140.5,225.8,94.5,51.4,38.5,37.5
1002,83.7,61,117,70,76,45.2,102.8,256,399,347,NA,3,65.9,61.1,104,103.3,143.6,131.5,397.4,281,51.7,167.5,155.7,254.3,365,NA,52,NA,114,188.7,149,69.7,74.3,50.5,93.7,75.4,68.5,81.4,81.3,69.7,93.5,67.5,77.9,NA,46,136.8,78.3,62.4,90.2,267,346,411,72.9,130.5,54.9,135,255,51.1,122.6,279.2,148.1,69.8,74.2,68.1,72.4,74.8,46.5,66.4,149.4,94,203,68.2,64.2,67.4,53.6,76.8,68.2,162.2,140.4,83,42.1,64.4,90.4,102,74.4,78.6,82.8,210,65.7,77,54.7,74.6
1003,107,99,123.2,62,11,49,122,223,336,317,346,57,63,73,127,106,190,210,465,245,82,203,154,269,350,68,100,NA,117,160,149,61,68,78,103,76,56,70,80.2,62.1,78,67,80,67,40,115,65,67,73,291,283,244,44.4,181,62,160,251,41,130,295,153,58,76.9,61.2,70,66,58,56,58,202,254,67,65,76,60,91,65,182.5,152,64,54,78,63,97,50,41,166,210,65,135,49,59.8
1004,115,77,128.7,58.9,68.3,57.6,126.4,248.8,341,NA,267,3,50.4,82.7,109.4,87.5,172.6,249.3,457.4,388,82,191.1,181.4,260.6,379,NA,84.6,NA,147.4,182.2,163.9,62.3,51,47.7,109.4,102,50.8,89.9,93.3,86.2,65.8,51.6,64.6,112,54.2,114.4,57.2,64.5,105.5,306.7,342.1,261.5,52.7,174.7,60.5,217.3,257.4,53.1,194.4,383.3,244.6,56.1,94,62.2,66.6,80.6,48.2,46.7,90.5,229.5,194.4,67.3,42.7,65.2,116.9,65.8,26.9,191.6,174,75.3,61.3,50.7,143.1,184.4,76.9,61.4,137.1,245.5,205.2,228.3,64.9,64.4
1005,139.9,79,174.2,63,62.1,56.4,167.6,266,360.6,339,219,48.4,44,95.3,227.3,95.2,206.3,282.5,316.8,274,41,184.7,189.8,280.2,382.7,NA,46.5,NA,157.5,129,166,40.2,58.6,64.2,173.1,123,48.6,95.1,93.2,72.7,91.7,63.5,60.2,49.6,53.3,130.8,426.2,47.5,86.5,344.7,147.7,426.5,54.4,244.9,71.7,226.2,318.1,50.2,115.8,449,319.2,46.8,101,42.5,50.6,70,38.4,42.3,136.8,343.8,384,49.4,39.9,110.6,192.9,129,41.6,206,187.2,93.1,36.2,76.4,152.9,220,50.1,45.5,158,300.1,449.7,218.1,92.1,95.8
1006,112.5,54,89,73,42.7,74.5,131,242,348,343,360,31,37,99,171,61,184,182,363,264,79,176,169,299,334,42,63,NA,132.4,165,127,38,40,56,123.4,37,32,88.6,78.9,55,65,46,38.3,63,76,118,27,32,100,308,282,210,51,134,70,153,330,56,125,341,91,40,53.5,31.3,41,47,52,38,77,258,272,34,62,88,80,44,32,119.8,159,49,42,32,120,100,34,38,144,223,80,151,60,37.5
1007,112,51,64,68,56,NA,136,253,352,351,258,6,45,80,149,50,171,210,242,243,125,201,183,252,335,62,92,159,146,161,113,39,57,43,153.8,60,55,82,87.9,61,63,61,63,43,45,118,48.7,38,74,308,614,93,59,131,37,191,230,36,137,362,51,46,57.7,49.8,57,49,38,48,66,356,367,38,58,97,81,54,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,129.8,74,69,85,47.5,49.8,147.1,271,343,439,298,45.4,48.7,80.6,93,NA,187.4,185.8,411.9,262,45,205.3,182.9,302.7,350,NA,56,NA,155.9,177.8,130,16,32.1,27,147.9,57.7,53.2,92,87.2,52.4,66.6,87.4,88,57.8,44.1,136.4,48.7,56.8,104.3,357.1,318.8,204,55.6,104,53.8,202.4,285.4,46.7,140.8,362.2,247.6,52.7,65.2,58.3,60.3,53,51.5,57.3,73.1,339.1,267.3,50.5,54.9,68.9,79.9,62.1,61.6,168.2,164,62.4,54.8,50.9,86.3,83.1,47,51.9,96,205.4,88.4,114,63.7,56.9
1010,121.8,82,130,104,56.6,55.6,145,298,369,396,245,40,48.9,94.7,65.6,62.8,157.1,186.6,404,412,71.4,175.8,170.6,282,384,NA,77.3,NA,142.1,180.8,146,57,74.1,58.7,178.3,64.7,54.2,75.6,91,50.2,65.2,57,70.6,102.1,39,135.8,44.4,44.7,67.5,340.1,314,171.2,93.9,186.7,88.4,180.7,243,70.4,136.8,336.1,181.6,70.9,92.4,45.7,86.8,73.5,74.4,63.2,116.2,364.7,185.6,65,73.8,141.7,57.3,56,55,158.2,106.2,63.8,42.7,43.2,145.5,71.9,52.9,46.3,117.3,159,64.1,116,76.9,73.9
1011,161.2,89.4,149.5,83.8,53.7,109,180.3,273.3,343,350,239,64.3,64,107.1,123.9,69.3,231.3,205.6,276.9,293,70.9,176.8,184.1,270.6,392,NA,107.1,NA,156.3,193.5,153,79.3,79.8,104.7,181.8,106.4,55.2,101.7,102.1,68.2,87,46.9,47.6,77.5,47.4,140.7,35.1,53.3,66.8,370.8,330,358.9,82.4,156.6,66.7,180.4,251,52.5,177.4,373.5,101.3,37.4,123,81,66.3,70.2,73.9,34.9,117,340.3,208.1,68.3,45.6,158.8,70.4,61.2,91.7,198,162.8,45.6,52.8,72.3,230.1,83.5,43.8,68.1,125,204.1,72.8,303.9,216.5,40.6
1012,157.7,51,101,84,76,NA,174,276,347,341,262,52,62,116,99,92,168,195,481,269,122,199,198,187,363,70,75,144,170,209,147,59,70,79,183.9,47,69.6,101,78.4,49,58,56,81,56,51,186,42,66,84,406,353.9,65,62.2,127,59,213,293,64,144,417,166,89,66.5,52,72,34,57,66,122,331,344,67,67,79,77,72,60,148,172,71,45,42,99,106,63,69,173,212,100,81,101,60.1
1014,146.9,64,112.2,78,65.3,NA,166.6,284,322,358,303,38.7,45.5,79.5,NA,NA,NA,NA,NA,NA,40,119.4,194.7,252,379,NA,NA,NA,NA,NA,180,19,32.8,31.7,165,44.8,43.7,69.4,126.2,62.8,77,105,72.7,44.8,41.7,138.8,57.2,47.6,76.5,372,363.1,127,74.7,121.4,59.1,190.4,299,55.1,173.5,362.5,141.6,62,53.3,63.3,69.7,55.2,43.8,55,65,339.2,384.5,66.5,60.9,58.8,86.2,88.9,57.4,197.8,135.1,60.8,38.6,42,177.6,113.5,47.2,49.5,157.2,204.5,76.2,66,88.6,103.7
1016,123,72,129.6,73,55.9,62.2,131.3,262,339,346,236,57,66.5,106.3,82,57.7,166.7,195,276,257,55,144.5,168.8,306.1,381.3,NA,77.4,NA,140.8,190.9,125,43.4,48.9,42,153.6,46.3,59.7,83.1,83.7,73.2,109.6,59.8,67.8,56,46.2,104.9,384.8,49.2,200,369.6,310.8,252.5,49.2,115.4,49.4,228,272.8,40.8,192.4,361.5,55.6,45.2,95.7,50.5,60.9,54.4,44,44.8,83.1,325.6,232.2,52.2,55.4,154.5,225.8,53.7,50.3,160.2,170.7,56.2,31.5,38.7,175.5,76.2,44.7,45.2,91.2,263.3,77.3,109.7,48.6,39
1017,152.2,78,185,64,62.3,67.4,212.3,295,243,378,263,39.2,51,120.3,126.7,61.2,192.4,318.7,216,300,49.5,142,199.7,320.6,419,NA,51,NA,208.9,252.8,81.9,46.5,65.5,79.9,176.2,101.1,61.2,63.2,82,64,82.9,98.3,77.4,66.4,38.6,213.5,135,43.7,100.4,505.9,323.8,362.4,62,183.7,51.9,217.4,416.1,49.4,112.7,482.3,231.5,51.1,80,65.4,102.9,94.7,60.3,57.2,100,362.1,167.6,48.4,59.2,71.1,155.2,108.1,65.6,168.8,188.4,65,56.7,55.1,190.2,156.5,50,49.6,267.5,344,803.3,317.9,121.9,57.1
1018,126.8,90,156,63,64.4,38.3,194,331,385,361,234,41.9,NA,87.6,130.2,123.5,186.6,341.8,217.3,300,66.3,151.2,198.4,276.7,421,NA,69.4,NA,143,270.5,154,73.3,86.1,106.7,190.1,101.7,76.7,82.3,102,49.2,84.7,87,89.3,126.9,43.7,250.4,306.4,65.1,91.7,446,373.7,399.5,45.5,197.2,57.3,218.8,378.7,47.8,134.7,302,86.5,69.2,69.4,73.6,83.6,47.7,55.4,65.1,93.6,385,10.7,52.4,61.5,93.5,147.3,77.9,79.2,174.4,160.2,76.7,51.4,48.1,128.2,135.9,54.8,52.6,208.4,270.5,139,500.4,97.9,67.4
1019,78.8,57,149.2,42,NA,NA,NA,NA,NA,77.1,169,9,50.3,99.6,176,90.3,199.3,NA,271.5,240,51.2,197,166.5,251.9,384,NA,82.7,NA,105,287.5,158,53.2,61.7,157.2,189.5,54,65.1,74,87,66.8,53,66,78,109.1,44.6,296.1,51.6,64.2,106.9,386,321,363.5,48.4,150.9,35.5,166.9,375.6,54,56.3,333.3,95,72.6,92.7,68.6,79.8,53.9,92.4,66.6,87.1,360.6,353.4,53.5,116.7,127.5,114.4,131.1,49.8,169.8,235.3,61.6,38.3,36.4,64.8,202.8,53.5,40.7,260.8,242.4,70.8,254.9,136.7,43.8
1022,90,75,84,97,8,NA,104,266,350,310,256,5,8,46,13,17,82,155,292,268,38,92,145,253,324,NA,35,NA,106,161,144,11,9,14,118,14,4,41,82,39,34,13,5,26,30,96,38,16,53,311,315,133,26,114,22,174,234,13,66,325,24,12,52,17,9,9,17,34,102,339,63,14,17,58,59,10,9,121,132,15,NA,17,80,81,12,16,152,194,69,48,73,12
1023,113,45,50,51,70,70,123,198,264,236,170,58,64,57,70,63,110,138,316,248,72,140,147,242,345,69,72,72,90,165,177,74,50,41,187.1,79,52,28,57.7,52.8,47,59,60.7,84,49,129,122,58,49,322,340,218,53,162,61,159,280,59,34,246,68,59,39.4,47,134,52,51,53,27,227,328,33,49,94.9,40,71,16,147,141,60,37,46,60,56,72.4,71,90,177,112,203,55,129.6
1024,81,95,113,66,78,37.2,109,274,402,310,272,60,60,98,128,70,176,139,389,339,81,122,157,252,358,42,89,NA,134,144,208,45.4,53,55,104.7,52,64,80,69.9,67,87,78,66,57,62,131,52,70,121,271,355,185,58,181,82,118,314,62,127,311,89,54,50,53.5,50,53,115,54,54,201,303,67,75,101,47,137,45,119,166,56,39,58,60,153,54.6,56,157,282,119,132,44,67.1
1025,96.1,59,80,57,67.3,49,109.6,230,287,335,301,53,56.8,64.5,76.5,81.1,139.3,173.7,410.6,269,53,140,140,217,352,NA,92.7,NA,123.9,146,135,59.3,66.4,80.7,79.7,65.7,63.4,64.7,69.9,80.1,55,59.2,73.2,69,61.4,98.8,64.7,71.3,70.6,129.4,301.2,186.2,42.7,193.6,58.8,155,232,38.6,122.1,287.8,160.8,58.6,71,60.8,68.1,69.3,46.1,58.5,121.8,205.4,237.3,66.6,61,128.5,116.8,71.2,60.6,176.1,151.8,71.1,59.4,57.3,72.8,150.8,68.9,48.6,79.6,178.1,78.1,103.8,44,58.9
1026,62.9,64,87,53.4,72.3,53.9,127.5,242,221,273,240,57.4,58.5,54,96.3,61,166.5,208.9,75.6,253,39.6,156.1,158,319.9,324,NA,57.2,NA,85.8,191.4,124,45.8,73.9,68.7,162.2,92,73.5,65.2,90.5,80.8,80.5,61,78.9,59,72.1,132.6,264.6,72.6,83.2,296.6,NA,367.7,73.6,201.9,53,196.9,313.3,53.2,89.1,288.4,128.6,69.8,46.5,84.5,87.2,72.8,127.1,117.8,75.9,233.9,318.5,4,64,54.8,148.8,111.8,65.7,132.3,230.4,80.6,47,52.8,59.7,202.6,84,77.1,183.9,272.7,74.8,112.1,202,64.2
1027,87.5,46,44,48,73,52.6,124,249,291,252,225,60,58,89,72,48,147,163,339,184.4,90,99,180,271,242,76,69,80,106.7,129,138,71,69,38,123.1,125,69,44.4,53.1,61.6,44,63,77,63,39,88,140.8,60,57,201,316,82,67,155,62,124,212,57,75,195,68,68,39.6,73,77,58,63,NA,67,138,120,56,61,52,49,80,64,94,194,76,67,49,50.8,78,80.2,74,139,153,110,88,63,61.7
1028,94.3,69.2,45.5,61.5,75.2,57.4,95.2,191,283,247,264,61.4,65.7,54.1,65.7,46.8,114.3,119.3,263.8,213,55.8,125.6,158.4,212,294,NA,45.9,NA,102.6,163.1,161,85,68.9,63.3,84.2,72.9,66.9,49.9,50.5,46.5,45.3,56.2,75.8,49.9,62.3,59,142,45.3,55.6,146.7,272,72.5,66,131.2,63.1,141.7,216.8,65.5,51.7,184.6,69,70.3,59.9,70.2,70,73.3,78.4,130.1,57.6,164.9,390,78.4,65.2,46.7,68.8,69.8,57.3,53.9,98,76.9,29.6,53.1,43.9,76.8,78.2,72.1,76,171,95.2,131.2,85.7,75.4
1029,53,68,35,60.2,77.4,39.3,71.5,272,334,303,231,63.7,54.7,56.6,72,72.3,91.8,89.9,285,320,50.7,108.9,156,159,253,NA,48,NA,139,149,187,70.6,69.7,49.9,65,49,73.1,68.3,98,52.8,68.6,59.5,78.9,78.6,68.5,95.4,64.2,39.3,128.1,150.9,342,187,60,134.6,72.9,141.3,239,66.2,134.9,196,135,72,59.4,78.2,76.7,78.1,76,73.7,48.9,191,216.1,58.8,75.1,55.7,88.4,81,69.1,82.8,180.8,80.1,32.2,64.6,58.6,204.5,74.7,48.7,88,181.3,102.6,135.1,92.9,65
1030,57,55,80,63,78,60,87,256,354,368,266,64,50,94,68,NA,157,156,372,321,103,130,201,225,380,81,46,NA,120,186,123,53.8,62,47,95.1,70,66,64.2,77,64.7,53,56,74,71,64,127,61,61,80,189,304,172,50,132,56,135,254,68,136,219,148,62,43.2,60.6,66,70,99,54,51,177,215,55,60,53,52,61,57,108,150,71,53,59,62,63,40.8,65,108,188,81,88,71,63.8
1031,61,48.6,46,57.6,57.9,34.2,63,265,61.6,71.5,233,68.4,56,67.8,109.3,57.9,124.8,129.9,322,270,50.1,111.2,157,247,228,NA,42,NA,115,160,138,54,54.3,61.7,75.6,74.8,56.1,55.5,62.8,59.9,63.4,76.5,85.5,65.2,53.8,68.4,55.7,57.9,130.2,175.8,184.2,130.8,53.6,134.8,54.6,127.8,227,42.8,168.1,263.7,160.7,52.6,55.4,88.9,58.1,66.5,56.2,58.2,64.9,156.2,303.2,50.8,65.4,53.9,66.9,65.9,63.8,59.5,136.9,76.7,52,89.1,51.5,140.2,80.9,59.3,82.3,86.2,152.9,136.6,147.3,60.2
1032,52.2,74.5,43.5,77.9,81.7,67.8,115.9,193,280,257,252,70.7,72.1,74.4,85.7,56.2,110.9,133.3,293.5,211,37,58.6,117.9,209,259,NA,65.1,NA,90,140,124,62.1,78.9,56,78.5,130,74.2,45,62.9,79,64.9,66.9,81.1,73.2,61.6,48.5,126,69.5,73.1,116.5,262,81,57.7,88.3,65.2,102.2,191.5,76.3,71.2,124,78.7,69.3,60.3,75.3,71.2,74.3,75.3,97.9,52.1,84.9,141.6,84,65.5,51.7,44.4,72,63.9,49.7,68.3,116.6,36.3,44.1,69.1,51.7,81.8,57.9,52.5,181.7,81.1,102.5,72.9,65.7
1033,72.7,58.2,79,63.4,66.3,50.5,141.1,242,225,254,215,60.3,63.8,58.2,102.7,53.8,165.5,229.7,215.2,256,85.9,86.3,151.3,241,342,NA,65.6,NA,72,155,115,48.2,72.3,57.8,136.7,84,69.2,111.9,63,64.3,98.8,60.7,72.8,48.4,68.5,80,173,63.1,52.3,243.2,237.6,308.5,55,79.5,57.7,109.1,251.2,93.8,71.3,185,72,62,62.8,61,64.2,69.2,95,63,35,128.4,306,66.5,56.8,53.2,76.1,56.9,61.4,121.8,167.2,73.7,43.2,48.2,50.2,128.3,77.4,72.2,179.7,224.9,131.4,130.3,63.6,58.2
1034,NA,71,NA,NA,41,NA,166,310,287,286,183,42.7,31.6,80.8,110.5,45.1,186.5,339,193,176,56.9,130.5,162.8,284,401,NA,66.5,NA,130,317.3,201,50,37.8,50.7,222.6,41.2,38.7,71.6,97.5,71,103,145.2,52.4,48,51.9,168,274,53.6,130.1,318,430.2,588,57.2,178.4,86,200.2,323.3,94.2,150.4,130,67,41.5,61.2,70.4,59.1,55.4,83.5,96,76.2,373.1,245.3,55,48.6,101.2,157.2,154.9,63.1,146.8,236.2,72.1,70.1,39.3,180.9,NA,52.4,44.1,223.9,432.7,87,368.3,129,34.5
1035,97,88,204,73,65.1,40,209,373,380,193,212,33.8,51.6,73.1,60.7,71.5,170.2,356.3,213,245,41.4,90.9,219.6,346.3,392,NA,58.3,NA,120,NA,147,95,63.4,54,159,167,62.5,42.4,74,73,96,108.7,133.7,115.9,63,178.5,164,49,153,315.7,545,678.1,53.2,200.3,41,226.2,352.2,44.7,132,123,175,54.2,27.1,58.9,54.2,69.9,45.3,103,54.9,330.4,506,50.9,50.8,110.1,134,56.1,87.1,169.6,208.1,155,42.2,43.9,169.6,278.2,54.3,50.9,253.3,537.6,820.7,306,264.9,54.6
1036,173.1,77,148,73.6,74.9,47,227.9,313.8,389,408,211,54.1,78.8,62.6,79.3,84.5,200.1,292,380.4,323.5,59.1,185,234.1,336.3,NA,NA,52,NA,159.1,291.8,149,179,74.2,68.2,182.5,231.9,57.8,105.3,89.1,69.5,75,38.4,78.2,103.3,63.3,267.9,369.2,46.3,145.9,536.7,810,687.6,105,235.3,120,322.5,443.4,67.9,178.4,539.1,43.8,61.9,90,47,68.1,130.2,43.2,129.9,143,420.4,821.4,151.2,63.4,114,196,66.4,56.5,338.2,226.9,385.3,72,54.1,139,231,35.4,79,214.5,287,522,125.7,69.6,61.5
